Name,BSE Code,NSE Code,Industry,Current Price,Promoter holding,Sales,Current ratio,Debt to equity,Price to book value,Return on capital employed,Return on equity,Price to Earning,Dividend yield,Market Capitalization,Cash end of last year,High price all time,Dividend Payout
Fischer Chemic,524743,,Chemicals,121.80,0.00,0.00,3.50,,,-12.90,,,0.00,2.09,0.04,131.00,0.00
Five X Tradecom,536751,,Finance & Investments,0.84,0.00,0.19,86.00,0.00,0.09,0.00,0.00,,0.00,1.73,0.05,8.95,
Flex Foods,523672,,Food - Processing - Indian,128.90,59.68,107.09,1.95,0.13,1.51,15.08,11.95,13.51,0.78,160.48,12.69,169.15,10.34
Flexituff Vent.,533638,FLEXITUFF,Packaging,14.52,32.88,978.11,1.61,4.55,0.26,-8.28,-71.23,,0.00,36.10,18.17,384.55,0.00
Flomic Global,504380,,Finance & Investments,132.15,27.51,197.61,1.88,1.83,4.23,12.17,11.61,39.65,0.00,95.15,6.50,132.15,0.00
Flora Textiles,530705,,Textiles - Processing,7.35,55.53,1.35,1.83,,,,,6.21,0.00,4.41,0.10,45.00,0.00
Fluidomat,522017,,Engineering,150.80,53.46,30.96,2.90,0.00,2.00,15.28,11.23,15.49,2.16,74.34,0.80,315.00,40.20
Focus Business,543312,,Finance & Investments,16.55,71.11,11.41,1.85,0.02,1.63,6.97,5.01,33.44,0.00,3.68,1.59,25.60,0.00
Focus Lighting,538416,FOCUS,Electric Equipment,59.35,73.36,59.85,2.08,0.15,1.91,-4.60,-5.89,,0.00,60.16,1.51,219.90,0.00
Foods & Inns,507552,,Food - Processing - Indian,76.40,45.20,448.08,3.30,0.90,2.11,6.62,2.15,46.06,0.26,384.58,13.71,89.23,25.70
Forbes & Co,502865,FORBESGOK,Engineering,4392.45,73.85,2988.99,0.85,,,17.46,,,0.00,5666.26,97.91,5290.00,0.00
Force Motors,500033,FORCEMOT,Automobiles - LCVs / HCVs,1517.60,61.63,2446.12,1.22,0.35,1.09,-5.27,-6.50,,0.33,1998.68,36.98,4839.00,-5.33
Fortis Health.,532843,FORTIS,Healthcare,267.95,31.17,4834.48,1.15,0.25,3.31,2.59,-1.72,121.39,0.00,20244.02,416.58,304.00,0.00
Fortis Malar,523696,,Healthcare,65.15,62.71,82.99,2.87,0.64,1.38,-7.15,-15.90,,0.00,122.11,13.57,102.20,0.00
Fortune Interntl,530213,,Trading,48.35,54.36,4.25,5.32,0.32,1.67,15.64,76.76,2.81,0.00,34.03,0.44,78.95,0.00
Foseco India,500150,FOSECOIND,Chemicals,1497.75,74.98,314.80,2.72,0.00,5.00,12.03,8.73,34.69,1.00,965.99,137.01,2340.00,62.05
Foundry Fuel,513579,,Miscellaneous,3.12,70.20,0.00,0.10,,,-357.14,,,0.00,2.50,0.01,46.85,0.00
Fourth Gen.,532403,,Computers - Software - Medium / Small,2.80,36.17,0.00,1.02,,,-168.42,,,0.00,0.99,0.00,48.95,0.00
Franklin Indust.,540190,,Trading,11.86,0.00,16.28,1.56,0.00,1.11,1.30,1.04,35.68,0.00,4.28,0.19,27.25,0.00
Franklin Leasing,539839,,Finance & Investments,7.87,26.98,4.23,1.94,2.23,0.34,1.02,0.54,62.10,0.00,12.42,2.69,61.50,0.00
Fraser & Company,539032,,Trading,11.47,28.19,50.49,1.37,0.05,1.43,23.11,17.59,6.85,0.00,9.32,1.94,66.95,0.00
Fredun Pharma,539730,,Pharmaceuticals - Indian - Formulations,508.35,52.04,166.80,1.71,0.92,4.71,11.00,6.49,46.20,0.14,202.81,1.13,637.00,13.93
Freshtrop Fruits,530077,,Food - Processing - Indian,108.50,58.53,157.02,2.30,0.40,1.51,12.37,11.90,12.44,0.00,118.52,6.17,218.00,0.00
Frontier Springs,522195,,Auto Ancillaries,311.15,51.76,82.68,2.17,0.05,1.96,18.24,14.03,13.68,0.00,122.59,2.96,380.00,0.00
Frontline Corp.,532042,,Miscellaneous,16.15,48.63,66.48,4.00,7.21,1.13,2.86,16.91,6.31,0.00,8.08,1.29,37.15,0.00
Fruition Venture,538568,,Finance & Investments,11.02,49.60,0.27,,0.00,0.91,11.64,7.33,4.84,0.00,4.41,0.17,22.90,0.00
Fundviser Capit.,530197,,Dyes And Pigments,24.00,53.12,0.22,47.77,0.00,1.40,0.99,0.66,16.72,0.00,8.86,4.15,40.30,0.00
Future Consumer,533400,FCONSUMER,Trading,7.47,14.47,1109.49,1.82,1.05,2.51,-25.59,-64.31,,0.00,1484.32,47.48,79.45,0.00
Future Ent. DVR,570002,FELDVR,Textiles - Products,12.13,72.22,45.66,,,,,,199.34,0.00,47.84,,58.05,0.00
Future Enterp.,523574,FEL,Textiles - Products,9.27,20.61,1678.71,3.50,2.45,0.14,-4.79,-33.87,,0.00,468.57,55.79,70.80,0.00
Future Lifestyle,536507,FLFL,Textiles - Products,62.85,20.39,2488.89,1.27,4.21,1.81,-13.09,-76.25,,0.00,1267.14,49.76,504.35,0.00
Future Market,533296,FMNL,Miscellaneous,10.03,71.57,76.39,0.70,1.76,0.52,-2.00,-22.01,,0.00,56.98,15.85,372.70,0.00
Future Retail,540064,FRETAIL,Trading,53.40,19.86,6311.59,1.81,9.34,2.41,-13.74,-133.88,,0.00,2898.50,68.68,650.67,0.00
Future Supply,540798,FSC,Miscellaneous,81.00,23.09,500.28,2.52,1.46,0.64,-5.12,-27.05,,0.00,355.88,2.80,760.00,0.00
Futuristic Sec.,523113,,Finance & Investments,11.76,62.77,0.07,105.00,0.00,1.56,-3.34,-2.68,,0.00,2.29,0.01,31.10,0.00
Futuristic Solu,534063,,Finance & Investments,20.20,68.49,0.49,45.59,0.00,1.58,0.97,-0.15,,0.00,21.14,1.85,75.00,0.00
G G Dandekar,505250,,Engineering,76.75,60.20,4.96,1.74,0.00,0.90,-3.20,0.23,730.80,0.00,36.54,2.37,184.40,0.00
G G Engineering,540614,,Engines,17.35,53.67,35.36,1.37,0.75,6.34,0.00,-5.73,,0.00,89.44,0.23,30.00,0.00
G K Consultants,531758,,Finance & Investments,3.12,1.59,4.64,216.33,0.00,0.25,-10.48,-7.68,,0.00,1.66,0.94,153.90,0.00
G K P Printing,542666,,Paper,46.75,52.95,29.24,3.22,0.00,3.15,6.21,3.74,85.70,0.00,68.56,1.70,47.98,0.00
G M Breweries,507488,GMBREW,Breweries & Distilleries,776.90,74.43,382.07,1.46,0.00,2.81,19.95,15.96,15.88,0.51,1418.32,6.85,969.60,9.14
G M D C,532181,GMDCLTD,Mining / Minerals / Metals,78.75,74.00,1600.85,4.79,0.00,0.62,1.33,8.71,9.54,0.00,2502.63,267.16,317.00,-17.69
G M Polyplast,543239,,Plastics Products,183.75,73.54,52.14,2.50,0.12,2.15,36.41,29.36,9.87,0.54,35.33,1.98,200.10,5.41
G N F C,500670,GNFC,Fertilizers,466.20,41.18,5822.78,3.48,0.00,1.19,15.83,12.26,7.75,1.72,7255.72,1450.73,548.50,17.84
G R Infraproject,543317,GRINFRA,Construction,1882.90,86.54,7844.13,2.99,1.14,4.57,22.92,27.27,19.04,0.00,18192.12,830.78,2047.00,0.00
G S Auto Intl.,513059,,Auto Ancillaries,9.64,41.71,92.53,0.78,1.26,0.52,0.88,-13.20,,0.00,13.99,1.82,105.20,0.00
G S F C,500690,GSFC,Fertilizers,128.10,37.84,7848.39,3.63,0.00,0.55,6.04,5.59,9.19,1.72,5106.43,247.81,166.40,19.48
G V Films,523277,,Entertainment / Electronic Media Software,0.85,0.00,0.24,0.88,0.75,3.34,-3.30,-8.63,,0.00,77.74,0.18,16.36,0.00
G-Tech Info.,532139,,Computers - Software - Medium / Small,0.81,0.00,0.00,0.44,0.00,2.18,-55.56,-55.56,,0.00,0.28,0.11,11.48,0.00
Gabriel India,505714,GABRIEL,Auto Ancillaries,159.20,55.00,2030.66,1.64,0.02,3.28,12.26,8.90,24.10,0.57,2286.07,255.44,222.70,21.44
Gagan Gases,524624,,Chemicals,11.66,34.63,2.54,8.64,0.61,4.97,14.02,2.61,43.96,0.00,5.28,0.31,24.15,0.00
Gagan Polycot,531196,,Trading,2.92,24.32,2.75,10.03,0.00,0.30,-13.25,-18.93,,0.00,2.92,0.24,29.90,0.00
GAIL (India),532155,GAIL,Miscellaneous,158.75,51.83,62769.21,1.00,0.15,1.33,13.48,11.97,9.25,3.15,70491.11,2024.64,199.70,36.18
Gajra Bevel,505711,,Auto Ancillaries,2.12,30.90,0.00,1.53,,,-18.54,,,0.00,1.99,0.00,40.40,0.00
Gala Global,539228,,Printing & Stationery,34.25,74.41,102.28,2.76,0.11,4.57,8.73,5.88,79.22,0.00,186.96,3.71,189.05,0.00
Galactico Corpo.,542802,,Finance & Investments,50.50,70.58,15.89,3.15,0.49,3.36,13.67,12.95,27.57,0.00,57.89,0.07,51.01,0.00
Galada Finance,538881,,Finance & Investments,14.50,53.03,0.99,3.00,0.68,0.86,4.13,-1.40,,0.00,4.35,0.12,35.90,0.00
Galada Power,504697,GALPOWTEL,Aluminium and Aluminium Products,2.52,15.56,0.00,0.11,,,,,,0.00,1.89,0.06,42.60,0.00
Galaxy Agrico,531911,,Engineering,12.08,73.22,6.03,3.33,0.07,0.76,11.60,9.45,2.46,0.00,3.30,0.27,41.60,0.00
Galaxy Bearings,526073,,Bearings,353.95,48.47,66.73,3.27,0.07,2.48,24.17,18.98,12.72,0.00,112.56,0.07,429.85,0.00
Galaxy Cloud,506186,,Entertainment / Electronic Media Software,16.45,48.87,32.70,0.50,0.00,123.20,,,,0.00,73.92,3.09,420.40,0.00
Galaxy Surfact.,540935,GALAXYSURF,Detergents / Intermediates,3385.80,70.93,3003.28,2.62,0.22,9.22,25.35,25.60,37.23,0.53,12006.39,111.38,3600.00,21.12
Gallantt Ispat,533265,GALLISPAT,Steel - Sponge Iron,51.25,63.09,1243.49,10.75,0.28,1.27,10.16,11.45,10.09,0.00,1441.42,39.32,70.00,0.00
Gallantt Metal,532726,GALLANTT,Steel - Medium / Small,73.80,67.24,1224.50,3.62,0.15,0.81,12.00,11.70,5.77,0.00,599.73,7.27,88.00,0.00
Gandhi Spl. Tube,513108,GANDHITUBE,Steel - Medium / Small,441.15,73.39,135.49,4.80,0.00,3.31,29.72,22.56,12.95,2.04,570.67,2.83,558.85,32.17
Ganesh Benzopl.,500153,GANESHBE,Chemicals,91.45,43.14,281.26,1.97,0.20,2.43,25.59,13.84,29.14,0.00,570.89,28.43,108.35,0.00
Ganesh Films,541703,,Entertainment / Electronic Media Software,10.39,60.84,0.16,13.59,0.24,0.25,-2.54,-6.74,,0.00,3.12,0.00,86.00,0.00
Ganesh Housing,526367,GANESHHOUC,Construction,205.45,56.54,249.85,6.15,0.81,2.12,-3.81,-18.69,,0.00,1062.17,19.77,566.00,0.00
Ganesha Ecosphe.,514167,GANECOS,Textiles - Processing,495.25,42.14,880.41,4.10,0.24,2.08,11.01,8.85,17.20,0.40,1074.57,3.84,688.50,9.67
Ganga Forging,535094,GANGAFORGE,Castings & Forgings,16.90,67.63,22.98,1.75,0.96,14.92,4.12,0.92,1628.00,0.00,179.08,0.07,17.10,0.00
Ganga Papers,531813,,Paper,80.90,74.98,227.57,2.43,2.04,4.59,14.50,24.36,15.00,0.00,87.29,6.71,116.35,0.00
Ganga Pharma.,539680,,Pharmaceuticals - Indian - Formulations,5.00,66.71,2.27,8.35,0.32,0.38,3.30,0.37,101.50,0.00,2.03,0.01,14.50,0.00
Ganges Securitie,540647,GANGESSECU,Finance & Investments,91.50,61.77,35.04,8.38,0.01,0.27,4.27,3.58,9.67,0.00,91.00,40.97,129.00,0.00
Gangotri Textile,521176,GANGOTRI,Textiles - Cotton/Blended,1.05,24.53,0.00,0.03,,,-0.63,,,0.00,3.43,0.00,71.05,0.00
Garden Reach Sh.,542011,GRSE,Miscellaneous,208.75,74.50,1335.06,0.84,0.00,2.10,21.22,14.88,12.33,2.40,2394.73,2281.17,249.40,37.32
Garg Furnace,530615,,Steel - Medium / Small,23.20,64.23,145.53,0.89,0.92,1.10,-5.73,-14.75,,0.00,9.30,1.52,90.45,0.00
Garment Mantra,539216,,Textiles - Products,153.00,49.14,126.14,1.63,1.21,4.79,23.57,24.14,34.36,0.00,153.59,1.39,227.00,0.00
Garnet Construct,526727,,Construction,23.70,56.90,24.20,2.45,0.22,0.36,16.13,14.81,,0.00,32.95,7.25,126.80,0.00
Garnet Intl.,512493,,Finance & Investments,42.30,56.09,25.52,2.16,0.18,2.69,-5.83,-11.40,,0.00,83.06,0.71,665.67,0.00
Garware Hi Tech,500655,GARWARPOLY,Packaging,900.20,60.72,1125.19,1.97,0.09,1.34,12.81,8.43,14.11,1.11,2091.38,69.79,1225.15,18.44
Garware Marine,509563,,Miscellaneous,6.41,37.72,1.51,26.65,0.00,0.64,2.96,2.59,10.26,0.00,3.69,0.55,67.85,0.00
Garware Synth,514400,,Textiles - Products,14.24,45.78,9.87,0.84,,,10.18,,11.99,0.00,8.27,0.04,43.00,0.00
Garware Tech.,509557,GARFIBRES,Textiles - Products,3504.30,52.62,1125.31,1.64,0.13,8.91,23.96,19.99,41.83,0.07,7222.54,57.40,3644.70,3.26
Gateway Distr.,532622,GDL,Miscellaneous,248.75,32.14,1256.16,1.50,0.47,2.08,8.66,6.67,24.48,2.01,3093.29,112.96,446.84,52.94
Gati,532345,GATI,Couriers,150.30,52.22,1431.43,0.89,0.46,3.52,-1.53,-7.34,,0.00,1845.77,56.28,342.00,0.00
Gautam Exim,540613,,Trading,29.75,72.92,247.57,2.21,1.94,0.79,9.49,5.85,13.89,0.00,9.16,3.91,57.80,0.00
Gautam Gems,540936,,Diamond Cutting / Jewellery,11.03,55.67,93.82,2.01,0.42,0.80,2.82,2.48,32.65,0.00,11.10,0.11,70.28,0.00
Gayatri BioOrga.,524564,,Miscellaneous,9.86,68.40,0.00,5.32,,,-21.01,,,0.00,77.69,0.44,30.00,0.00
Gayatri Highways,541546,GAYAHWS,Construction,0.81,61.15,87.48,4.41,,,-11.75,,,0.00,16.18,3.37,10.90,0.00
Gayatri Projects,532767,GAYAPROJ,Construction,50.00,44.66,4129.67,2.25,2.46,1.09,12.27,5.13,11.72,0.00,935.09,289.38,228.22,0.00
Gayatri Sugars,532183,,Sugar,4.65,57.30,239.12,0.56,,,-13.81,,,0.00,20.32,0.92,30.45,0.00
GBL Industries,539009,,Chemicals,4.17,2.81,0.00,2.51,0.05,0.39,-2.31,-2.55,34.75,0.00,2.08,0.09,101.00,0.00
GCM Capital,538319,,Finance & Investments,3.78,39.03,4.23,8.84,0.00,0.19,0.32,0.26,71.18,0.00,6.41,0.74,141.60,0.00
GCM Securit.,535431,,Finance & Investments,2.81,41.54,2.71,1.65,0.00,4.54,15.98,17.80,29.66,0.00,53.38,1.02,90.25,0.00
GE Power,532309,GEPIL,Engineering - Turnkey Services,306.90,68.58,3451.43,1.40,0.47,2.12,17.41,10.11,,0.33,2058.87,219.78,1109.00,9.54
GE Shipping Co,500620,GESHIP,Shipping,373.35,29.21,3037.36,4.70,0.66,0.71,8.04,10.16,28.53,2.41,5485.51,2749.10,625.80,14.40
GE T&D India,522275,GET&D,Electric Equipment,131.80,75.00,3447.68,1.20,0.28,3.01,11.04,5.35,60.73,0.00,3374.74,60.20,659.90,0.00
GEE,504028,,Electrodes - Welding Equipment,74.90,73.65,286.74,4.26,0.35,1.14,10.28,7.71,12.81,0.00,194.65,2.28,104.82,0.00
GeeCee Vent.,532764,GEECEE,Construction,161.05,67.71,47.14,7.30,0.00,0.70,3.56,2.25,30.00,1.18,337.50,2.93,219.95,38.66
Geekay Wires,535003,GEEKAYWIRE,Cables - Power,91.40,58.19,191.32,9.53,1.84,2.12,13.37,14.73,15.21,4.49,95.53,4.88,112.90,34.76
Geetanjali Cred.,539486,,Finance & Investments,1.49,0.00,0.00,8.50,0.01,0.21,2.33,0.00,66.00,0.00,0.66,0.00,24.00,
Gem Spinners,521133,GEMSPIN,Textiles - Cotton/Blended,1.70,72.86,0.00,0.16,18.77,29.81,-8.57,-90.37,,0.00,10.43,0.03,18.76,0.00
Gemstone Invest.,531137,,Finance & Investments,1.40,0.01,2.03,20.12,0.00,0.44,2.26,1.66,24.92,0.00,10.46,0.93,20.65,0.00
Genera Agri,541999,,Miscellaneous,2.79,26.75,6.74,3.49,1.00,0.21,0.80,0.50,35.83,0.00,2.51,0.23,346.50,0.00
General Insuranc,540755,GICRE,Finance & Investments,145.70,85.78,46895.09,0.53,0.00,0.81,10.88,7.06,17.64,0.00,25561.60,18588.81,449.50,0.00
Generic Engineer,539407,GENCON,Construction,43.50,54.50,174.33,4.23,0.26,1.02,4.73,1.56,14.42,0.11,182.89,8.24,194.40,0.00
Generic Pharma.,531592,,Dyes And Pigments,7.85,59.96,21.16,3.74,0.00,10.52,7.91,6.60,87.28,0.00,217.34,3.53,18.00,0.00
Genesis IBRC,514336,,Miscellaneous,7.81,11.33,0.00,76.67,0.00,1.12,-1.31,-1.31,,0.00,10.15,0.01,17.00,0.00
Genesys Intl.,506109,GENESYS,Computers - Software - Medium / Small,290.25,48.01,89.62,2.27,0.06,5.23,-9.97,-9.04,178.41,0.00,911.40,2.95,391.20,0.00
Gennex Lab.,531739,,Pharmaceuticals - Indian - Bulk Drugs,7.77,22.05,57.16,3.23,0.18,2.46,14.01,11.41,19.66,0.00,98.29,1.07,14.84,0.00
Gensol Engineer.,542851,,Miscellaneous,89.55,70.72,60.11,2.55,0.24,3.10,12.63,9.86,31.39,0.00,97.93,4.46,92.80,0.00
Genus Paper & Bo,538961,GENUSPAPER,Paper,11.42,50.49,339.18,3.22,0.11,0.80,3.20,1.95,17.66,0.00,290.88,26.82,16.70,0.00
Genus Power,530343,GENUSPOWER,Electronics - Components,82.90,50.46,654.18,4.34,0.23,2.36,11.49,7.98,26.13,0.60,2131.61,114.68,95.06,16.75
Genus Prime,532425,,Construction,5.85,74.96,0.23,7.00,0.21,0.16,-0.04,-0.05,,0.00,8.73,0.15,76.06,0.00
Geojit Fin. Ser.,532285,GEOJITFSL,Finance & Investments,83.20,62.19,454.83,2.03,0.06,3.36,28.99,22.38,14.54,4.21,1988.64,737.53,147.05,67.75
Getalong Enterp.,543372,,Trading,75.95,46.95,62.64,1.02,0.02,5.16,,,16.14,0.00,13.88,0.55,80.50,0.00
GFL,500173,GFLLIMITED,Finance & Investments,83.05,68.72,129.01,0.90,7.66,2.45,-4.52,-13.95,,0.00,912.30,80.00,164.70,0.00
GHCL,500171,GHCL,Chemicals,438.65,19.18,3302.10,2.49,0.31,1.68,16.11,14.31,10.04,1.25,4176.45,48.63,483.10,16.02
GI Engg.Sol.,533048,GISOLUTION,Computers - Software - Medium / Small,4.12,39.42,0.09,19.96,0.00,0.82,-39.93,-44.92,,0.00,3.16,0.14,51.00,0.00
Gian Lifecare,542918,,Healthcare,111.75,69.87,10.46,,,,,,26.01,0.00,52.53,,129.50,0.00
GIC Housing Fin,511676,GICHSGFIN,Finance - Housing,153.00,42.41,1197.72,2.13,8.27,0.61,7.48,8.06,5.00,2.61,821.21,90.63,623.40,20.41
Gilada Finance,538788,,Finance & Investments,38.00,58.77,3.38,17.71,0.03,0.71,10.78,7.40,11.91,0.00,13.34,0.04,62.70,0.00
Gillanders Arbut,532716,GILLANDERS,Diversified - Medium / Small,64.95,69.05,429.48,2.10,0.81,0.52,3.91,-5.55,87.33,0.00,139.72,7.25,141.95,0.00
Gillette India,507815,GILLETTE,Personal Care - Multinational,5825.10,75.00,2009.42,1.46,0.00,24.06,51.13,36.51,61.12,0.62,18970.83,166.32,8200.00,37.80
Gini Silk Mills,531744,,Textiles - Processing,50.80,74.98,19.97,5.95,0.12,0.70,-2.10,-2.68,167.04,0.00,28.40,0.40,505.00,0.00
Ginni Filaments,590025,GINNIFILA,Textiles - Cotton/Blended,33.85,69.73,867.59,1.15,0.90,1.21,18.53,18.78,6.36,0.00,289.08,4.48,65.40,0.00
Giriraj Civil,535066,GIRIRAJ,Construction,81.00,59.57,63.57,4.13,0.67,0.99,12.29,10.06,9.84,0.00,26.28,1.38,167.85,0.00
Gita Renewable,539013,,Power Generation And Supply,201.80,73.05,0.85,0.72,0.00,23.64,-11.16,-11.16,,0.00,82.99,6.65,300.00,0.00
GKB Ophthalmics,533212,GKB,Personal Care - Indian,98.00,59.24,64.94,2.71,0.19,0.79,2.83,-1.49,28.47,0.00,49.40,17.28,209.20,0.00
GKW,504704,GKWLIMITED,Miscellaneous,714.95,75.00,33.65,4.88,0.00,1.26,12.46,10.74,18.92,0.00,426.83,59.96,1318.00,0.00
Glance Finance,531199,,Finance & Investments,89.05,74.93,4.60,7.39,0.14,0.99,13.12,7.26,10.35,0.00,20.09,1.09,89.05,0.00
Gland Pharma,543245,GLAND,Pharmaceuticals - Indian - Bulk Drugs,3811.00,58.14,3732.57,10.00,0.00,10.61,28.00,20.88,60.53,0.00,62590.24,3005.20,4350.00,0.00
Glaxosmi. Pharma,500660,GLAXO,Pharmaceuticals - Multinational,1477.00,75.00,3340.26,1.65,0.00,16.69,43.78,28.34,58.67,2.03,25028.84,1157.98,1936.01,141.90
Gleam Fabmat,542477,,Trading,1.81,72.85,24.28,3.20,0.53,0.18,0.00,-0.41,,0.00,1.81,0.03,6.35,0.00
Glenmark Life,543322,GLS,Pharmaceuticals - Indian - Bulk Drugs & Formln,667.95,82.84,1885.17,1.15,0.00,10.87,96.86,60.99,23.25,0.00,8182.98,115.60,799.95,0.00
Glenmark Pharma.,532296,GLENMARK,Pharmaceuticals - Indian - Bulk Drugs & Formln,533.80,46.63,11564.05,2.16,0.66,2.13,14.90,14.33,14.89,0.47,15070.71,1139.16,1262.90,7.27
Glittek Granites,513528,,Miscellaneous,2.31,63.07,13.43,12.32,1.29,0.43,-7.70,-19.92,,0.00,6.00,0.10,11.75,0.00
Global Cap.Mkt.,530263,,Finance & Investments,4.11,5.00,5.30,31.35,0.00,0.20,0.80,0.80,17.94,0.00,10.23,0.42,289.50,0.00
Global Education,538406,GLOBAL,Miscellaneous,46.65,74.95,32.53,11.57,0.00,1.18,11.37,8.19,7.71,4.29,47.49,0.64,84.76,64.76
Global Offshore,501848,GLOBOFFS,Shipping,45.55,33.29,77.70,0.37,,,-6.66,,,0.00,112.65,12.94,864.90,0.00
Global Vectra,532773,GLOBALVECT,Transport - Airlines,59.60,75.00,309.33,0.44,6.98,1.74,-6.54,-46.08,,0.00,83.29,10.61,328.70,0.00
Globalspace Tech,540654,,Computers - Software - Medium / Small,58.85,55.31,23.92,2.13,0.21,1.85,18.54,16.03,11.71,0.00,67.42,2.21,135.85,0.00
Globe Commercial,540266,,Trading,35.80,8.33,22.13,1.03,0.21,1.61,-0.15,-0.16,17.90,0.00,10.74,0.02,41.50,0.00
Globe Textiles,538431,GLOBE,Textiles - Products,12.20,73.36,309.40,2.04,1.73,1.44,6.99,0.59,111.08,0.00,184.39,0.07,15.05,0.00
Globus Corp.,531904,KARUNACAB,Aluminium and Aluminium Products,0.27,17.84,0.00,3.05,,,,,,0.00,1.72,0.01,33.49,0.00
Globus Power,526025,,Construction,77.55,73.68,0.00,0.36,0.00,48.63,-2.08,-2.50,,0.00,767.35,0.03,228.00,0.00
Globus Spirits,533104,GLOBUSSPR,Breweries & Distilleries,1464.25,55.96,1371.20,1.86,0.32,7.20,31.51,27.28,23.69,0.14,4212.45,58.13,1488.00,4.09
Gloster Ltd,542351,,Textiles - Jute - Yarn / Products,1192.85,72.58,622.62,5.46,0.02,0.66,6.01,4.02,12.32,2.10,652.68,31.28,1415.00,33.16
GMM Pfaudler,505255,GMMPFAUDLR,Engineering,4732.85,54.95,1398.36,1.81,1.55,16.99,15.87,19.93,121.70,0.11,6907.86,292.28,6913.85,9.95
GMR Infra.,532754,GMRINFRA,Engineering - Turnkey Services,43.05,61.49,6871.19,1.40,,,1.08,,,0.00,25951.81,6413.27,132.34,0.00
GNA Axles,540124,GNA,Auto Ancillaries,1042.65,67.51,1137.22,2.63,0.38,4.32,15.43,14.64,20.97,0.24,2237.12,19.51,1083.90,15.21
Goa Carbon,509567,GOACARBON,Chemicals,399.60,59.72,422.14,1.37,0.41,4.80,4.99,-6.21,962.19,0.00,365.63,27.74,1215.40,0.00
Goblin India,542850,,Trading,24.75,52.83,33.69,17.32,0.68,0.98,1.31,-7.20,,0.00,25.85,0.85,133.95,0.00
GOCL Corpn.,506480,GOCLCORP,Chemicals,328.50,73.83,451.90,3.92,0.95,1.40,6.53,7.58,19.30,0.61,1625.18,42.13,700.00,37.78
Godavari Drugs,530317,,Pharmaceuticals - Indian - Bulk Drugs,71.00,56.12,141.38,1.96,1.25,2.19,17.56,18.50,11.37,0.00,53.46,1.64,92.00,0.00
Godawari Power,532734,GPIL,Steel - Medium / Small,1364.95,67.50,4461.24,3.62,0.44,2.36,37.42,37.38,4.68,1.36,4806.25,60.22,1848.00,9.88
Godfrey Phillips,500163,GODFRYPHLP,Cigarettes,1267.75,72.83,2724.77,1.57,0.15,2.55,15.45,15.78,15.15,1.89,6570.42,46.10,1662.80,33.15
Godha Cabcon,535079,GODHA,Cables - Power,52.05,72.95,32.40,4.38,0.29,2.37,0.13,-1.55,,0.00,57.80,0.89,56.70,0.00
Godrej Agrovet,540743,GODREJAGRO,Food - Processing - Indian,624.20,71.65,6705.32,1.89,0.49,5.85,18.01,16.13,36.21,1.28,11994.54,50.94,746.80,48.98
Godrej Consumer,532424,GODREJCP,Personal Care - Indian,1024.30,63.23,11595.73,1.35,0.20,11.10,19.74,20.13,58.61,0.00,104768.68,672.21,1138.50,0.00
Godrej Industrie,500164,GODREJIND,Chemicals,578.10,67.19,10243.94,2.41,1.33,2.58,6.85,4.71,48.22,0.00,19499.33,852.15,699.70,0.00
Godrej Propert.,533150,GODREJPROP,Construction,2369.70,58.43,778.79,2.88,0.55,7.92,0.63,-3.38,,0.00,65871.87,673.25,2516.50,0.00
Goenka Business,538787,,Finance & Investments,5.89,14.91,440.75,0.29,0.00,0.27,69.38,1.56,8.15,0.00,7.66,10.40,560.10,0.00
Goenka Diamond,533189,GOENKA,Diamond Cutting / Jewellery,1.15,57.55,6.78,2.11,0.72,0.15,-2.09,-3.85,,0.00,36.46,0.41,35.55,0.00
Gogia Capital,531600,,Finance & Investments,87.40,53.92,4.09,4.17,0.00,1.25,10.28,5.82,20.16,0.00,55.25,41.37,126.40,0.00
Gokak Textiles,532957,,Textiles - Cotton/Blended,27.05,73.56,124.65,1.06,,,-16.59,,,0.00,17.58,11.07,189.00,0.00
Gokaldas Exports,532630,GOKEX,Textiles - Products,222.35,33.12,1216.47,2.42,1.65,4.51,8.22,9.67,34.23,0.00,965.56,15.26,407.70,0.00
Gokul Agro,539725,GOKULAGRO,Solvent Extraction,42.95,69.81,9165.47,1.29,0.58,1.64,22.81,13.78,10.68,0.00,563.87,233.68,49.75,0.00
Gokul Refoils,532980,GOKUL,Solvent Extraction,28.00,72.09,2633.18,4.11,1.02,1.00,8.55,7.01,12.36,0.00,276.20,66.35,89.68,0.00
Goldcoin Health,538542,,Food - Processing - Indian,6.65,39.31,0.16,9.09,0.00,0.55,-1.63,-1.36,,0.00,2.00,0.00,233.00,0.00
Goldcrest Corpor,505576,GOLCRESFIN,Miscellaneous,189.25,72.86,21.31,16.01,0.00,1.88,23.18,18.12,9.82,0.26,107.68,21.66,189.50,2.95
Golden Carpets,531928,,Textiles - Products,6.83,60.78,0.87,5.93,10.59,10.07,0.20,2.30,,0.00,4.43,0.20,76.85,0.00
Golden Crest,540062,,Miscellaneous,42.00,58.17,0.25,31.40,0.00,2.10,0.38,0.29,550.72,0.00,22.03,0.12,42.00,0.00
Golden Tobacco,500151,GOLDENTOBC,Cigarettes,155.15,30.04,42.51,0.04,,,,,24.02,0.00,274.56,3.30,766.70,0.00
